1, 18
1, 21
1, 39
1, 17
1, 57
3, 66
1, 19
1, 103
1, 125
1, 24
1, 16
1, 19
1, 165
1, 110
1, 21
1, 39
1, 32
1, 160
1, 141
1, 26
1, 220
1, 50
1, 15
1, 97
1, 61
1, 43
1, 14
1, 41
1, 100
1, 95
1, 114
1, 41
1, 29
1, 27
1, 71
1, 344
1, 44
1, 15
1, 13
1, 120
1, 30
1, 32
1, 108
1, 44
1, 32
1, 18
1, 46
1, 116
1, 55
1, 37
1, 40
1, 20
1, 83
1, 141
1, 41
1, 15
1, 46
1, 41
1, 19
1, 103
1, 37
1, 18
1, 79
1, 46
1, 63
1, 60
1, 33
1, 104
1, 81
1, 38
1, 156
1, 168
1, 19
1, 63
1, 35
1, 47
1, 44
1, 53
1, 24
1, 42
1, 54
1, 28
1, 53
1, 39
1, 27
1, 128
1, 50
1, 112
1, 231
1, 34
1, 42
1, 162
1, 53
1, 72
1, 40
1, 36
1, 39
1, 62
1, 125
1, 388
1, 41
