3, 37
1, 93
1, 98
2, 132
1, 16
2, 135
1, 24
1, 173
1, 173
2, 27
2, 30
1, 17
1, 40
1, 211
2, 144
1, 77
1, 28
1, 20
1, 24
2, 23
1, 46
1, 13
1, 283
2, 64
1, 64
1, 98
1, 340
1, 78
1, 16
1, 14
2, 31
1, 133
1, 15
1, 13
1, 19
1, 66
2, 23
1, 131
1, 131
1, 28
1, 26
1, 177
1, 17
1, 24
1, 35
1, 28
2, 24
1, 26
1, 12
1, 41
1, 260
1, 28
1, 29
1, 80
1, 43
1, 187
1, 20
1, 31
1, 38
1, 38
1, 101
1, 104
1, 114
1, 17
1, 84
1, 40
1, 17
1, 38
1, 74
1, 41
1, 39
1, 16
1, 16
1, 24
1, 16
1, 64
1, 60
1, 20
1, 37
1, 86
1, 46
1, 29
1, 38
1, 19
1, 22
1, 121
1, 74
1, 115
1, 81
1, 22
1, 39
1, 129
1, 242
1, 19
1, 32
1, 30
1, 279
1, 34
1, 62
1, 40
